bp,factor
start,0
2020-01-09,0
2020-01-10,3.29646e-05
2020-01-11,4.34791e-05
2020-01-12,5.31412e-05
2020-01-13,6.16665e-05
2020-01-14,8.69149e-05
2020-01-15,9.77137e-05
2020-01-16,0.000162873
2020-01-17,0.000180634
2020-01-22,0.00019719
2020-01-23,0.000146076
2020-01-24,0.000126143
2020-01-25,0.00016329
2020-01-26,0.000171994
2020-01-27,0.000211616
2020-01-30,0.000199876
2020-01-31,0.000257873
2020-02-01,0.000228316
2020-02-03,0.00025227
2020-02-04,0.000281447
2020-02-05,0.000458295
2020-02-06,0.000576224
2020-02-07,0.000650681
2020-02-08,0.000853833
2020-02-09,0.000985498
2020-02-10,0.00128834
2020-02-11,0.00146485
2020-02-12,0.00217069
2020-02-13,0.00334277
2020-02-14,0.00458633
2020-02-15,0.00660002
2020-02-16,0.00823856
2020-02-17,0.0092701
2020-02-18,0.0154796
2020-02-19,0.0186948
2020-02-20,0.0223737
2020-02-21,0.0309435
2020-02-22,0.0341368
2020-02-23,0.0490406
2020-02-24,0.0489382
2020-02-25,0.0590085
2020-02-26,0.0557818
2020-02-27,0.0714875
2020-02-29,0.0730412
2020-03-01,0.0847426
2020-03-02,0.108861
2020-03-03,0.13042
2020-03-04,0.156544
2020-03-05,0.135283
2020-03-07,0.135093
2020-03-08,0.0863757
2020-03-09,0.0446233
2020-03-10,0.02338
2020-03-11,0
2020-07-01,0
2020-07-02,0.000570252
2020-07-03,0.00101553
2020-07-04,0.0025514
2020-07-05,0.00205187
2020-07-06,0.00154642
2020-07-07,0.002102
2020-07-08,0.00265186
2020-07-09,0.00300568
2020-07-10,0.00153214
2020-07-11,0.00205574
2020-07-12,0.00368028
2020-07-13,0.00408375
2020-07-14,0.00438279
2020-07-15,0.00574603
2020-07-16,0.00692062
2020-07-17,0.00975078
2020-07-18,0.00813131
2020-07-19,0.00918413
2020-07-20,0.0111398
2020-07-24,0.0100201
2020-07-26,0.0117292
2020-07-27,0.0145076
2020-07-29,0.0162205
2020-07-30,0.0178054
2020-07-31,0.02249
2020-08-02,0.0266172
2020-08-03,0.0208342
2020-08-06,0.0220255
2020-08-09,0.0189119
2020-08-11,0.0223208
2020-08-12,0.0255913
2020-08-13,0.0302443
2020-08-15,0.0335892
2020-08-16,0.0375348
2020-08-19,0.038996
2020-08-20,0.0313556
2020-08-26,0.0300176
2020-08-27,0.0349566
2020-08-29,0.0404825
2020-08-31,0.036385
2020-09-03,0.0371932
2020-09-04,0.032781
2020-09-05,0.0281194
2020-09-09,0.027466
2020-09-10,0.0162041
2020-09-11,0.0142783
2020-09-12,0.0109697
2020-09-13,0.00527059
2020-09-14,0.00190728
2020-09-15,0.000123333
2020-09-16,0
2020-09-17,0.00617061
2020-09-18,0.00432544
2020-09-19,0.00258285
2020-09-20,0.00220628
2020-09-21,0
2021-02-18,0
2021-02-19,0.00505794
2021-02-20,0.00631492
2021-02-21,0.00759726
2021-02-22,0.00921308
2021-02-23,0.0106501
2021-02-24,0.0111893
2021-02-25,0.0143641
2021-02-26,0.0154599
2021-02-27,0.0180373
2021-02-28,0.0201335
2021-03-03,0.0238572
2021-03-05,0.0262771
2021-03-06,0.0290423
2021-03-07,0.032021
2021-03-11,0.0361379
2021-03-16,0.0397576
2021-03-21,0.0447421
2021-03-25,0.0500068
2021-04-14,0.0448927
2021-04-18,0.0403779
2021-04-23,0.0352126
2021-04-26,0.0304365
2021-04-30,0.0264358
2021-05-03,0.0236461
2021-05-06,0.0207173
2021-05-10,0.0182081
2021-05-14,0.0155557
2021-05-19,0.0139857
2021-05-25,0.0124787
2021-05-27,0.0110588
2021-05-28,0.0104986
2021-05-29,0.00937338
2021-06-02,0.00852113
2021-06-04,0.00739484
2021-06-05,0.00660877
end,0.00592797
