bp,Par0-4,Par5-9,Par10-14,Par15-19,Par20-24,Par25-29,Par30-34,Par35-39,Par40-44,Par45-49,Par50-54,Par55-59,Par60-64,Par65-69,Par70-74,Par75-79,Par80+,ParCH
start,Mixing factor 0-4,Mixing factor 5-9,Mixing factor 10-14,Mixing factor 15-19,Mixing factor 20-24,Mixing factor 25-29,Mixing factor 30-34,Mixing factor 35-39,Mixing factor 40-44,Mixing factor 45-49,Mixing factor 50-54,Mixing factor 55-59,Mixing factor 60-64,Mixing factor 65-69,Mixing factor 70-74,Mixing factor 75-79,Mixing factor 80+,Mixing factor CH
end,Mixing factor 0-4,Mixing factor 5-9,Mixing factor 10-14,Mixing factor 15-19,Mixing factor 20-24,Mixing factor 25-29,Mixing factor 30-34,Mixing factor 35-39,Mixing factor 40-44,Mixing factor 45-49,Mixing factor 50-54,Mixing factor 55-59,Mixing factor 60-64,Mixing factor 65-69,Mixing factor 70-74,Mixing factor 75-79,Mixing factor 80+,Mixing factor CH
