date,Data
2020-11-01,6693339
2020-11-02,6854312
2020-11-03,7018688
2020-11-04,7185335
2020-11-05,7353782
2020-11-06,7524296
2020-11-07,7697216
2020-11-08,7872662
2020-11-09,8048980
2020-11-10,8226222
2020-11-11,8405045
2020-11-12,8584665
2020-11-13,8764804
2020-11-14,8945144
2020-11-15,9126251
2020-11-16,9306367
2020-11-17,9486074
2020-11-18,9664646
2020-11-19,9842703
2020-11-20,10018589
2020-11-21,10193566
2020-11-22,10366336
2020-11-23,10536534
2020-11-24,10704815
2020-11-25,10871312
2020-11-26,11036141
2020-11-27,11198051
2020-11-28,11357292
2020-11-29,11514254
2020-11-30,11668731
2020-12-01,11820379
2020-12-02,11969900
2020-12-03,12117919
2020-12-04,12263535
2020-12-05,12407561
2020-12-06,12549876
2020-12-07,12690446
2020-12-08,12830139
2020-12-09,12968544
2020-12-10,13106525
2020-12-11,13243605
2020-12-12,13379853
2020-12-13,13516178
2020-12-14,13652005
2020-12-15,13787694
2020-12-16,13924027
2020-12-17,14060421
2020-12-18,14197363
2020-12-19,14335193
2020-12-20,14474084
2020-12-21,14614881
2020-12-22,14757259
2020-12-23,14901291
2020-12-24,15046864
2020-12-25,15194977
2020-12-26,15344441
2020-12-27,15496404
2020-12-28,15649677
2020-12-29,15805082
2020-12-30,15962305
2020-12-31,16122089
2021-01-01,16283172
2021-01-02,16445344
2021-01-03,16610118
2021-01-04,16774252
2021-01-05,16940357
2021-01-06,17107351
2021-01-07,17275019
2021-01-08,17442122
2021-01-09,17609343
2021-01-10,17775646
2021-01-11,17941294
2021-01-12,18105613
2021-01-13,18267387
2021-01-14,18428895
2021-01-15,18587228
2021-01-16,18743515
2021-01-17,18897131
2021-01-18,19047047
2021-01-19,19194241
2021-01-20,19337597
2021-01-21,19477830
2021-01-22,19614452
2021-01-23,19747793
2021-01-24,19876059
2021-01-25,20001665
2021-01-26,20123373
2021-01-27,20241247
2021-01-28,20354853
2021-01-29,20465068
2021-01-30,20571263
2021-01-31,20673848
2021-02-01,20772844
2021-02-02,20868380
2021-02-03,20960214
2021-02-04,21048222
2021-02-05,21132467
2021-02-06,21213599
2021-02-07,21291491
2021-02-08,21366070
2021-02-09,21438141
2021-02-10,21506221
2021-02-11,21571678
2021-02-12,21634802
2021-02-13,21695143
2021-02-14,21752304
2021-02-15,21806896
2021-02-16,21859395
2021-02-17,21909884
2021-02-18,21957622
2021-02-19,22003074
2021-02-20,22046368
2021-02-21,22088220
2021-02-22,22127721
2021-02-23,22165363
2021-02-24,22201261
2021-02-25,22235685
2021-02-26,22268472
2021-02-27,22299639
2021-02-28,22329255
2021-03-01,22357148
2021-03-02,22383898
2021-03-03,22409575
2021-03-04,22434051
2021-03-05,22457195
2021-03-06,22479029
2021-03-07,22500168
2021-03-08,22520147
2021-03-09,22539184
2021-03-10,22557193
2021-03-11,22574360
2021-03-12,22590916
2021-03-13,22606603
2021-03-14,22621431
2021-03-15,22635585
2021-03-16,22649025
2021-03-17,22661932
2021-03-18,22674093
2021-03-19,22685663
2021-03-20,22696718
2021-03-21,22707338
2021-03-22,22717234
2021-03-23,22726677
2021-03-24,22735848
2021-03-25,22744610
2021-03-26,22752848
2021-03-27,22760720
2021-03-28,22768212
2021-03-29,22775430
2021-03-30,22782201
2021-03-31,22788690
2021-04-01,22794853
2021-04-02,22800661
2021-04-03,22806148
2021-04-04,22811630
2021-04-05,22816692
2021-04-06,22821521
2021-04-07,22826114
2021-04-08,22830509
2021-04-09,22834662
2021-04-10,22838640
2021-04-11,22842379
2021-04-12,22845998
2021-04-13,22849463
2021-04-14,22852663
2021-04-15,22855725
2021-04-16,22858683
2021-04-17,22861468
2021-04-18,22864130
2021-04-19,22866722
2021-04-20,22869123
2021-04-21,22871491
2021-04-22,22873655
2021-04-23,22875773
2021-04-24,22877712
2021-04-25,22879672
2021-04-26,22881432
2021-04-27,22883065
2021-04-28,22884704
2021-04-29,22886327
2021-04-30,22887847
2021-05-01,22889280
2021-05-02,22890650
2021-05-03,22891989
2021-05-04,22893217
2021-05-05,22894386
2021-05-06,22895488
2021-05-07,22896610
2021-05-08,22897672
2021-05-09,22898671
2021-05-10,22899647
2021-05-11,22900597
2021-05-12,22901506
2021-05-13,22902355
