date,Data
2020-10-10,1762830
2020-10-11,1834458
2020-10-12,1907200
2020-10-13,1977575
2020-10-14,2048039
2020-10-15,2119248
2020-10-16,2189397
2020-10-17,2259537
2020-10-18,2328481
2020-10-19,2396819
2020-10-20,2464808
2020-10-21,2533030
2020-10-22,2598255
2020-10-23,2663591
2020-10-24,2726831
2020-10-25,2786561
2020-10-26,2845740
2020-10-27,2902390
2020-10-28,2957000
2020-10-29,3009346
2020-10-30,3056939
2020-10-31,3103035
2020-11-01,3145357
2020-11-02,3183920
2020-11-03,3220365
2020-11-04,3251847
2020-11-05,3280736
2020-11-06,3306277
2020-11-07,3326961
2020-11-08,3341417
2020-11-09,3351679
2020-11-10,3356687
2020-11-11,3356622
2020-11-12,3351155
2020-11-13,3339914
2020-11-14,3323707
2020-11-15,3301231
2020-11-16,3273492
2020-11-17,3240541
2020-11-18,3202631
2020-11-19,3159909
2020-11-20,3114217
2020-11-21,3066455
2020-11-22,3017338
2020-11-23,2968594
2020-11-24,2920304
2020-11-25,2872797
2020-11-26,2826414
2020-11-27,2782437
2020-11-28,2740945
2020-11-29,2700817
2020-11-30,2664742
2020-12-01,2631568
2020-12-02,2601718
2020-12-03,2573898
2020-12-04,2550547
2020-12-05,2530430
2020-12-06,2513896
2020-12-07,2501814
2020-12-08,2492775
2020-12-09,2487340
2020-12-10,2484309
2020-12-11,2486857
2020-12-12,2491874
2020-12-13,2501303
2020-12-14,2515597
2020-12-15,2534253
2020-12-16,2557307
2020-12-17,2585983
2020-12-18,2617937
2020-12-19,2654463
2020-12-20,2691782
2020-12-21,2730538
2020-12-22,2769802
2020-12-23,2810169
2020-12-24,2849719
2020-12-25,2888517
2020-12-26,2924979
2020-12-27,2960257
2020-12-28,2994617
2020-12-29,3024628
2020-12-30,3051468
2020-12-31,3074780
2021-01-01,3093747
2021-01-02,3108401
2021-01-03,3115685
2021-01-04,3118907
2021-01-05,3113622
2021-01-06,3101951
2021-01-07,3082498
2021-01-08,3057579
2021-01-09,3024607
2021-01-10,2986700
2021-01-11,2941976
2021-01-12,2892178
2021-01-13,2838200
2021-01-14,2778721
2021-01-15,2715237
2021-01-16,2649044
2021-01-17,2580548
2021-01-18,2511090
2021-01-19,2439643
2021-01-20,2367602
2021-01-21,2294380
2021-01-22,2222061
2021-01-23,2149239
2021-01-24,2077394
2021-01-25,2004733
2021-01-26,1933420
2021-01-27,1862863
2021-01-28,1793682
2021-01-29,1725701
2021-01-30,1659313
2021-01-31,1594057
2021-02-01,1530163
2021-02-02,1467667
2021-02-03,1406871
2021-02-04,1348487
2021-02-05,1292161
2021-02-06,1237091
2021-02-07,1184024
2021-02-08,1132848
2021-02-09,1082676
2021-02-10,1035183
2021-02-11,988985
2021-02-12,944112
2021-02-13,900768
2021-02-14,859875
2021-02-15,820946
2021-02-16,783014
2021-02-17,746001
2021-02-18,711225
2021-02-19,677931
2021-02-20,646115
2021-02-21,615378
2021-02-22,586339
2021-02-23,558502
2021-02-24,531729
2021-02-25,506054
2021-02-26,481649
2021-02-27,458476
2021-02-28,436168
2021-03-01,415471
2021-03-02,395435
2021-03-03,376329
2021-03-04,358021
2021-03-05,340691
2021-03-06,324476
2021-03-07,308725
2021-03-08,293935
2021-03-09,279684
2021-03-10,266404
2021-03-11,253627
2021-03-12,241279
2021-03-13,229697
2021-03-14,218815
2021-03-15,208456
2021-03-16,198725
2021-03-17,189188
2021-03-18,180280
2021-03-19,171821
2021-03-20,163795
2021-03-21,156001
2021-03-22,148632
2021-03-23,141776
2021-03-24,135120
2021-03-25,128607
2021-03-26,122568
2021-03-27,116681
2021-03-28,111150
2021-03-29,105757
2021-03-30,100760
2021-03-31,95949
2021-04-01,91362
2021-04-02,87062
2021-04-03,83033
2021-04-04,78948
