date,Data
2020-01-01,0
2020-01-08,0
2020-01-15,0
2020-01-22,2
2020-01-29,3
2020-02-05,14
2020-02-12,86
2020-02-19,891
2020-02-26,6717
2020-03-04,41479
2020-03-11,191818
2020-03-18,479748
2020-03-25,618279
2020-04-01,499245
2020-04-08,368429
2020-04-15,277862
2020-04-22,217766
2020-04-29,179469
2020-05-06,154702
2020-05-13,135033
2020-05-20,119830
2020-05-27,105666
2020-06-03,90975
2020-06-10,78475
2020-06-17,68159
2020-06-24,59772
2020-07-01,52977
2020-07-08,49216
2020-07-15,47496
2020-07-22,48767
2020-07-29,54045
2020-08-05,64178
2020-08-12,80289
2020-08-19,106367
2020-08-26,149319
2020-09-02,217102
2020-09-09,324370
2020-09-16,484203
2020-09-23,702819
2020-09-30,916064
2020-10-07,1060808
2020-10-14,1163264
2020-10-21,1225510
2020-10-28,1226305
2020-11-04,1164148
2020-11-11,1023186
2020-11-18,855085
2020-11-25,773485
2020-12-02,777735
2020-12-09,854033
2020-12-16,978457
2020-12-23,1049671
2020-12-30,1016832
2021-01-06,861892
2021-01-13,669395
2021-01-20,503417
2021-01-27,373501
2021-02-03,278187
2021-02-10,207960
2021-02-17,155701
2021-02-24,118839
2021-03-03,93353
2021-03-10,74704
2021-03-17,59723
2021-03-24,46357
2021-03-31,35940
2021-04-07,27860
2021-04-14,22416
2021-04-21,18521
2021-04-28,16200
2021-05-05,14995
2021-05-12,15105
2021-05-19,16077
2021-05-26,17888
2021-06-02,20504
