time,age0-19,age20-39,age40-59,age60+
0,0,0,0,0
7,1,0,1,1
14,2,3,5,0
21,5,9,11,10
28,30,39,30,31
35,60,85,92,96
42,138,176,166,247
49,181,241,280,353
56,187,192,327,339
63,112,149,243,247
70,44,65,156,153
77,31,23,74,69
84,12,20,53,51
91,9,3,17,18
98,3,1,14,8
105,3,2,12,12
112,2,1,5,3
119,3,1,0,1
126,1,1,1,2
133,0,2,0,3
