time,age0-19,age20-39,age40-59,age60+
0,2,1,0,0
7,10,5,5,1
14,19,13,25,15
21,84,76,56,48
28,262,176,132,178
35,541,432,299,508
42,990,777,548,1020
49,1051,766,772,1075
56,627,555,685,709
63,260,293,387,332
70,117,133,201,139
77,55,57,92,84
84,22,28,61,45
91,17,11,25,22
98,7,6,25,11
105,8,5,13,14
112,2,10,4,3
119,5,5,0,4
126,2,2,1,2
133,0,0,0,0
