time,Region A,Region B,Region C,Region D
0,0,0,0,0
7,0,0,0,0
14,0,0,0,0
21,2,2,0,0
28,7,3,2,3
35,9,1,5,0
42,23,7,34,11
49,71,27,141,34
56,163,58,238,92
63,189,121,240,171
70,146,127,131,155
77,106,89,68,128
84,45,83,21,76
91,27,44,13,41
98,14,19,6,25
105,13,9,4,13
112,5,3,1,6
119,0,4,0,4
126,0,2,0,0
133,1,1,0,1
