time,Region A,Region B,Region C,Region D
0,2,0,0,0
7,2,0,0,0
14,9,1,0,1
21,20,5,2,7
28,36,12,18,5
35,77,29,123,38
42,293,102,482,120
49,645,288,1165,360
56,1153,569,1460,809
63,934,650,782,916
70,587,568,286,662
77,236,399,121,403
84,104,198,39,185
91,60,96,20,96
98,43,47,11,62
105,17,26,6,21
112,4,8,0,19
119,3,12,0,10
126,1,7,2,1
133,5,3,1,2
