time,Male,Female
0,500,500
7,639,603
14,869,794
21,1187,1116
28,1683,1555
35,2313,2129
42,2864,2727
49,3273,3212
56,3549,3486
63,3694,3671
70,3778,3771
77,3824,3832
84,3849,3867
91,3859,3888
98,3861,3892
105,3865,3894
112,3866,3897
119,3867,3898
126,3869,3898
133,3870,3898
