time,Male,Female
0,141,112
7,280,271
14,413,410
21,583,542
28,622,645
35,508,517
42,329,359
49,180,196
56,109,119
63,56,61
70,17,32
77,17,17
84,6,12
91,1,2
98,4,2
105,0,1
112,3,0
119,0,0
126,1,1
133,0,0
