time,Male,Female
0,100,100
7,102,109
14,152,189
21,247,277
28,334,380
35,326,451
42,283,370
49,203,244
56,107,166
63,71,100
70,43,61
77,14,32
84,6,14
91,2,5
98,1,3
105,1,3
112,0,1
119,2,0
126,0,0
133,0,1
