Time,Data
0.000000,0.000000
7.000000,0.000000
7.000000,0.000000
14.000000,0.000000
14.000000,0.571429
21.000000,0.571429
21.000000,1.000000
28.000000,1.000000
28.000000,3.285714
35.000000,3.285714
35.000000,11.285714
42.000000,11.285714
42.000000,33.000000
49.000000,33.000000
49.000000,100.142857
56.000000,100.142857
56.000000,218.142857
63.000000,218.142857
63.000000,304.428571
70.000000,304.428571
70.000000,240.285714
77.000000,240.285714
77.000000,137.857143
84.000000,137.857143
84.000000,66.285714
91.000000,66.285714
91.000000,31.000000
98.000000,31.000000
98.000000,16.571429
105.000000,16.571429
105.000000,4.857143
112.000000,4.857143
112.000000,3.000000
119.000000,3.000000
119.000000,1.285714
126.000000,1.285714
126.000000,1.000000
133.000000,1.000000
133.000000,0.428571
140.000000,0.428571
