time,age0-19,age20-39,age40-59,age60+
0,7,6,3,3
7,41,37,13,23
14,185,230,100,108
21,461,782,238,229
28,1264,2540,702,651
35,2959,6511,1701,1359
42,3012,7015,1702,1385
49,3498,8430,1929,1653
56,4224,9987,2671,2155
63,5682,10866,3971,2548
70,6412,10729,5693,2731
77,5179,8569,7941,2185
84,3545,5433,9749,1604
91,2481,3282,11155,1131
98,1766,2042,12124,791
105,1493,1646,12667,683
112,1324,1286,12405,555
119,1264,949,12171,499
126,1261,702,11465,475
133,1112,642,10715,406
140,1076,659,9707,407
147,877,673,8218,348
154,843,676,6895,349
161,780,835,5429,376
168,805,884,4460,391
175,867,1004,3680,333
182,792,1042,3082,279
189,868,825,2423,223
196,669,687,1808,192
203,606,512,1377,155
