area	easting	northing	area	SIMDQuintile	region	density	age0-14	age15-44	age45-64	age65+	male	female
"S02001383"	205615.806451613	673061.032258065	41054.075	3	"S08000022"	0.0623811399964559	271	589	877	824	48.7309644670051	51.2690355329949
"S02001384"	220734.086666667	697110.353333333	66618.373	2.75	"S08000022"	0.0509619170675333	423	877	1231	864	49.0427098674521	50.9572901325479
"S02001385"	217513.257309942	678687.315789474	288.524	2.28571428571429	"S08000022"	18.2272531921088	777	1543	1542	1397	46.9671040121696	53.0328959878304
"S02001386"	217188.88185654	676848.198312236	195.754	1.85714285714286	"S08000022"	24.1221124472552	785	1596	1359	982	48.58110969928	51.41889030072
"S02001387"	223935.025316456	686236.41350211	7290.385	3.375	"S08000022"	0.889527782140449	747	3120	1686	932	61.2181958365459	38.7818041634541
"S02001388"	227837.767567568	683665.616216216	310.075	4	"S08000022"	13.9579134080464	686	1262	1357	1023	48.0129390018484	51.9870609981516
"S02001389"	230181.086124402	683091.220095694	232.598	4.28571428571429	"S08000022"	19.2563994531337	870	1469	1279	861	46.7515070328198	53.2484929671802
"S02001390"	229627.303225807	682452.048387097	105.61	2.5	"S08000022"	29.7793769529401	371	1070	885	819	48.0127186009539	51.9872813990461
"S02001391"	230903.431654676	681914.302158273	113.739	3.16666666666667	"S08000022"	36.1705307766026	836	1558	1121	599	48.1526494895479	51.8473505104521
"S02001392"	234338.292517007	680588.31292517	15699.458	3.8	"S08000022"	0.193000293385925	482	935	996	617	49.8679867986799	50.1320132013201
"S02001393"	285772.164179105	694669.47761194	320.81	2.66666666666667	"S08000019"	13.7277516286899	835	1750	1208	611	48.2061762034514	51.7938237965486
"S02001394"	286207.813186813	695427.307692308	3307.093	2.16666666666667	"S08000019"	1.63255160952534	978	2512	1417	492	53.9729579551769	46.0270420448231
"S02001395"	285035.418918919	696794.756756757	85.547	3.75	"S08000019"	32.9877143558512	492	1038	785	507	48.3345145287031	51.665485471297
"S02001396"	288178	697023.093167702	162.718	3	"S08000019"	29.3513932078811	673	1732	1471	900	48.0318257956449	51.9681742043551
"S02001397"	291479.246753247	695919.857142857	4156.321	2	"S08000019"	0.503329747630176	315	714	673	390	47.4665391969407	52.5334608030593
"S02001398"	291937.894736842	697079.65131579	186.282	2.75	"S08000019"	26.1109500649553	690	1726	1541	907	49.6299342105263	50.3700657894737
"S02001399"	296972.947368421	698454.572368421	3317.874	4.8	"S08000019"	1.07116786231183	604	994	1190	766	47.7208778840743	52.2791221159257
"S02001400"	291584.595419847	691886.847328244	2913.38	2.83333333333333	"S08000019"	1.51988412084932	801	1688	1239	700	48.486901535682	51.513098464318
"S02001401"	289529.454545455	694200.552447553	762.109	2.14285714285714	"S08000019"	6.86122326333897	871	1970	1496	892	47.5234270414993	52.4765729585007
"S02001402"	288734.529411765	692651.013071896	177.338	1.16666666666667	"S08000019"	27.3263485547373	876	2085	1258	627	48.7825010317788	51.2174989682212
"S02001403"	288087.769736842	693729.138157895	146.185	2.55555555555556	"S08000019"	38.4444368437254	914	2121	1653	932	48.4697508896797	51.5302491103203
"S02001404"	287888.707865169	693051.91011236	328.103	3.2	"S08000019"	10.5637558937285	605	1355	916	590	48.1823427582227	51.8176572417773
"S02001405"	205273.732026144	561079.875816994	116.215	1.66666666666667	"S08000017"	31.6568429204492	650	1235	956	838	47.2410981244904	52.7589018755097
"S02001406"	206404.795918367	560768.765306123	110.852	1.66666666666667	"S08000017"	25.3130299859272	438	1034	774	560	48.039914468995	51.960085531005
"S02001407"	205988.438596491	559984.070175439	132.274	2	"S08000017"	27.2011128415259	631	1304	952	711	47.3040578098944	52.6959421901056
"S02001408"	203855.252788104	560693.152416357	23274.785	2.4	"S08000017"	0.162923094670907	551	1070	1271	900	49.2088607594937	50.7911392405063
"S02001409"	209944.761006289	545408.691823899	12607.222	2	"S08000017"	0.168236904212522	295	593	759	474	49.2220650636492	50.7779349363508
"S02001410"	226564.471615721	560177.703056769	63303.743	2.25	"S08000017"	0.0419722416729766	371	785	887	614	49.4919081671058	50.5080918328943
"S02001411"	241837.087179487	546884.628205128	30147.561	2.28571428571429	"S08000017"	0.169963998082631	728	1402	1654	1340	49.3364558938329	50.6635441061671
"S02001412"	242831.257575758	564499.8	46896.09	2.5	"S08000017"	0.117834983684141	839	1771	1568	1348	48.7513572204126	51.2486427795874
"S02001413"	263144.330434783	556160.752173913	37702.137	3.2	"S08000017"	0.0924616023754834	454	941	1120	971	47.9059093516925	52.0940906483075
"S02001414"	271088.305921053	552932.358552632	20456.479	3.125	"S08000017"	0.260699800781943	740	1577	1687	1329	48.9593099568723	51.0406900431277
"S02001415"	277411.243027889	562041.490039841	6997.916	3.2	"S08000017"	0.704781252018458	768	1520	1398	1246	47.1816707218167	52.8183292781833
"S02001416"	283355.947019868	561148.543046358	182.488	2.8	"S08000017"	23.2015255797642	617	1295	1282	1040	47.5673122342938	52.4326877657062
"S02001417"	286114.098159509	563379.90797546	19657.755	3.66666666666667	"S08000017"	0.124378394175734	343	597	796	709	49.3660531697342	50.6339468302659
"S02001418"	270573.400793651	575935.575396826	81359.278	2.8	"S08000017"	0.0451700173642151	515	989	1261	910	48.5442176870748	51.4557823129252
"S02001419"	277326.977777778	611081.56	27397.98	1.85714285714286	"S08000017"	0.175961877481479	788	1599	1421	1013	48.5998755444929	51.4001244555072
"S02001420"	284936.76	595641.112	44677.649	3	"S08000017"	0.0925294882906663	633	1183	1306	1012	48.3551040154814	51.6448959845186
"S02001421"	294210.882352941	586001.623529412	34698.033	3.33333333333333	"S08000017"	0.129949729427025	665	1396	1551	897	50.1663339986693	49.8336660013307
"S02001422"	293190.866666667	577817.266666667	8143.432	3.25	"S08000017"	0.383622040437005	582	1159	833	550	46.9910371318822	53.0089628681178
"S02001423"	295672.136690648	577733.676258993	154.491	1.25	"S08000017"	38.8954696390081	1250	2410	1432	917	47.8781827259111	52.1218172740889
"S02001424"	296409.111764706	576522.447058824	212.198	2.16666666666667	"S08000017"	23.2000301605105	800	1820	1350	953	48.5070079219988	51.4929920780012
"S02001425"	296881.468085106	575421.134751773	95.09	3.6	"S08000017"	37.1542748974656	497	1249	1078	709	47.4101330314181	52.5898669685819
"S02001426"	295669	569631.290123457	13117.637	2.75	"S08000017"	0.270932943181764	483	1058	1162	851	47.7490151941474	52.2509848058526
"S02001427"	299945.281879195	572535.174496644	7618.471	2.75	"S08000017"	0.426463525292674	480	1094	1016	659	49.1535857186827	50.8464142813173
"S02001428"	299107.435483871	575062.290322581	83.656	4.75	"S08000017"	35.1439227311849	451	1042	1054	393	48.7414965986395	51.2585034013605
"S02001429"	299244.930555556	575644.472222222	66.882	4.5	"S08000017"	43.2104303100984	393	969	921	607	49.1003460207613	50.8996539792388
"S02001430"	297445.909090909	576108.293868922	130.311	1.5	"S08000017"	25.8995787001865	449	1406	861	659	47.437037037037	52.562962962963
