time,s1,s2
0,0,0
7,0,0
14,2,4
21,2,19
28,23,77
35,26,195
42,27,373
49,16,427
56,11,385
63,9,278
70,7,155
77,4,66
84,3,33
91,0,23
98,0,4
105,2,3
112,0,3
119,0,0
126,1,0
133,0,0
