time,Male,Female
0,7,15
7,37,43
14,169,158
21,510,471
28,988,1012
35,1058,1132
42,653,690
49,297,300
56,124,97
63,49,54
70,18,24
77,5,4
84,3,1
91,1,1
98,2,1
105,2,2
112,0,1
119,0,1
126,2,2
133,0,0
