time,Male,Female
0,0,2
7,2,7
14,20,19
21,54,87
28,121,203
35,191,366
42,193,263
49,126,162
56,65,53
63,32,22
70,10,14
77,5,2
84,2,2
91,0,1
98,0,0
105,0,1
112,0,0
119,0,0
126,0,0
133,0,1
