time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,1,0,1,0,0,3,4
7,2,2,11,25,4,6,6,1,18,9
14,16,9,37,58,25,43,54,38,27,25
21,31,29,33,140,113,83,69,77,39,72
28,88,52,72,249,244,119,121,102,79,108
35,305,107,245,309,258,197,228,322,238,430
42,1386,311,551,549,490,306,510,1379,923,1378
49,3832,771,863,1518,2461,811,1281,3655,1702,3429
56,5507,1559,923,6066,5568,1502,6089,5024,1308,4287
63,3886,1899,990,8121,4850,2414,8764,2151,1125,3277
70,1723,2327,592,5166,2308,2176,6756,1182,1263,2535
77,762,1099,185,2246,979,898,3712,620,656,1570
84,300,423,123,778,359,306,1103,650,220,1377
91,153,165,53,170,133,97,407,364,108,900
98,53,72,10,89,36,59,210,187,54,459
105,31,44,8,27,31,20,75,104,26,266
112,17,18,2,18,16,10,59,80,13,90
119,6,5,1,13,7,4,24,42,3,18
126,3,2,1,3,1,3,14,32,3,13
133,0,2,0,1,1,1,8,4,5,12
