time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,2,1,0,0,0,0
14,2,2,2,10,1,2,4,1,3,1
21,3,3,9,19,12,5,10,12,4,6
28,8,7,6,25,28,25,15,20,7,18
35,21,16,25,47,22,32,26,39,30,46
42,124,29,57,68,63,45,45,118,100,115
49,435,94,107,156,204,92,152,436,255,367
56,839,201,175,588,695,194,559,831,285,740
63,964,318,208,1280,971,332,1262,697,250,703
70,623,394,175,1322,771,450,1445,421,234,638
77,322,318,112,885,439,351,1117,237,200,455
84,164,193,53,417,237,182,661,163,113,352
91,88,96,23,190,90,96,262,124,45,275
98,60,44,17,70,34,33,114,63,17,157
105,12,21,2,22,22,16,54,36,16,78
112,6,13,2,11,8,7,18,19,6,64
119,7,7,0,3,3,7,7,14,3,18
126,1,0,0,3,0,2,8,6,2,7
133,1,0,0,0,1,3,4,4,2,5
