1.17186,0.073,0.102,0.582,0.351,0.097,0.13,0.155,0.155,0.155
0.072,3.11,0.165,0.297,0.6,0.456,0.136,0.153,0.155,0.155
0.108,0.177,3.227,0.8,0.584,0.637,0.403,0.103,0.153,0.155
0.658,0.343,0.856,2.158,1.192,0.803,0.668,0.399,0.103,0.291
0.355,0.619,0.56,1.067,1.749,0.934,0.578,0.541,0.399,0.804
0.114,0.548,0.71,0.837,1.085,1.292,0.749,0.434,0.541,1.482
0.118,0.127,0.351,0.544,0.524,0.586,0.94,0.544,0.434,1.5
0.136378,0.126343,0.0836407,0.294196,0.441393,0.314266,0.470994,0.968,0.544,0.538
0.123756,0.116149,0.112744,0.0689165,0.295408,0.35549,0.34098,0.493652,0.968,0.713
0.0203453,0.0190947,0.0187773,0.0320094,0.0978599,0.160095,0.193744,0.0802607,0.117216,2.904
