time,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000045,S12000047,S12000048,S12000049,S12000050
0,0,0,0,0,2,0,0,4,3,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,1,0,4,0,0,1
7,0,0,0,0,0,0,0,7,6,0,0,4,0,1,0,0,7,0,7,0,0,0,0,0,2,2,10,0,4,0,0,4
14,0,5,0,0,0,0,0,12,16,0,1,3,0,1,0,6,24,0,22,7,2,3,1,0,14,13,21,3,6,1,6,15
21,0,5,7,7,9,0,4,38,27,1,3,21,0,6,0,17,26,5,43,36,1,20,15,2,34,40,50,8,10,4,88,53
28,1,25,19,13,42,0,23,99,102,19,24,71,0,15,1,33,154,36,90,96,7,57,39,13,55,109,134,23,54,21,217,142
35,12,77,77,26,110,0,108,294,303,23,114,183,11,40,4,85,429,89,212,279,59,181,188,64,173,304,415,70,189,102,804,375
42,42,231,339,104,369,1,358,848,821,95,386,641,19,122,12,335,1213,286,589,781,209,691,629,256,577,1003,1019,360,769,316,2412,1207
49,174,662,1105,466,1151,10,1111,2848,2305,317,1217,1926,59,329,49,1020,3653,781,1976,2458,728,2347,1997,850,1571,2737,2794,1125,2577,1040,7565,3796
56,697,2012,3532,1382,2964,38,3568,8101,5461,1153,3406,5161,190,1051,127,2800,10713,2332,5708,7215,2214,7868,5662,2657,4381,7032,7101,3412,7722,3163,21764,11020
63,2270,5474,9315,4212,8047,110,9723,20676,10243,3615,8109,12798,522,3116,424,7849,26629,5999,15408,18680,5793,22507,14785,6843,11821,14753,15805,8968,21605,8873,54088,27876
70,5670,13711,19602,11170,15386,474,21777,39653,14542,9516,15528,22527,1398,8719,1048,17058,51352,12583,33473,38642,12141,55865,29580,14013,24984,22123,26458,17879,49266,19842,104137,54713
77,9877,25957,24819,19811,19311,1224,32047,46928,12821,16934,18874,25897,3156,18340,2427,22901,63654,18399,46400,52024,16766,97799,35813,17640,36011,19926,27678,21812,73750,30558,125300,67927
84,9997,29445,18911,21623,14372,2683,27698,34349,7791,18333,14034,18674,4537,23533,4120,18346,48097,16180,37955,41810,14432,101517,25966,13769,31202,12384,18518,16137,66523,27193,91481,51371
91,6327,20513,10335,13807,7748,4830,16474,18057,4039,11880,7535,10034,3667,18110,4304,10464,25921,9620,20842,24273,8560,64456,14084,7515,18140,6303,9731,8834,38866,15602,49704,28011
98,3032,10956,5146,6732,3780,5149,7905,8625,2080,5940,3574,4786,2207,9801,2802,4934,12627,4795,10284,11999,4042,32746,6985,3856,8932,3071,4858,4179,19268,7765,23915,13636
105,1489,5249,2301,3164,1766,3499,3939,4103,1039,2867,1767,2341,1145,4598,1485,2202,5805,2312,4905,5711,2071,15636,3331,1727,4348,1488,2420,2020,9085,3676,11255,6416
112,702,2479,1056,1457,881,1910,1793,2030,484,1298,882,1168,551,2113,685,1147,2872,1086,2367,2726,997,7090,1593,831,1973,805,1054,977,4243,1781,5543,3241
119,326,1318,510,710,381,866,873,1007,253,595,445,491,230,979,335,563,1348,510,1136,1223,465,3572,789,429,996,361,575,465,2031,850,2620,1603
126,151,562,262,379,198,435,442,437,142,295,231,225,136,516,173,251,701,249,514,648,238,1664,351,190,470,169,293,228,1021,358,1270,795
133,62,294,127,173,79,181,199,215,60,161,103,131,50,236,84,106,331,133,275,282,88,834,169,106,232,100,115,104,493,185,667,380
