time,Region A,Region B,Region C,Region D
0,0,0,0,0
7,1,0,0,2
14,4,2,3,3
21,7,6,8,2
28,25,9,44,16
35,71,37,144,32
42,133,54,241,79
49,172,119,238,159
56,135,125,114,175
63,101,109,57,126
70,66,80,24,95
77,31,42,6,44
84,11,19,7,34
91,4,7,4,14
98,9,12,3,4
105,1,5,0,1
112,0,4,0,1
119,0,7,0,0
126,0,0,0,0
133,0,0,0,0
