time,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,3
13,3
14,3
15,7
16,10
17,11
18,14
19,19
20,22
21,28
22,32
23,39
24,49
25,55
26,63
27,75
28,91
29,108
30,128
31,147
32,167
33,185
34,208
35,236
36,275
37,312
38,343
39,384
40,425
41,470
42,519
43,577
44,645
45,720
46,795
47,889
48,994
49,1079
50,1193
51,1319
52,1426
53,1566
54,1698
55,1883
56,2042
57,2259
58,2443
59,2639
60,2835
61,3029
62,3233
63,3423
64,3642
65,3859
66,4073
67,4267
68,4459
69,4667
70,4866
71,5069
72,5228
73,5421
74,5606
75,5782
76,5947
77,6098
78,6264
79,6412
80,6536
81,6662
82,6763
83,6880
84,6975
85,7055
86,7125
87,7191
88,7266
89,7329
90,7365
91,7434
92,7494
93,7549
94,7588
95,7635
96,7669
97,7699
98,7731
99,7760
100,7781
101,7801
102,7821
103,7839
104,7854
105,7866
106,7878
107,7890
108,7900
109,7907
110,7921
111,7928
112,7933
113,7941
114,7943
115,7946
116,7948
117,7948
118,7950
119,7952
120,7955
121,7957
122,7962
123,7968
124,7970
125,7973
126,7975
127,7975
128,7976
129,7980
130,7983
131,7984
132,7984
133,7986
134,7988
135,7990
136,7990
137,7990
138,7990
139,7991
