time,Male,Female
0,0,0
7,3,4
14,9,11
21,52,34
28,118,116
35,339,329
42,808,808
49,1155,1135
56,802,845
63,373,422
70,194,162
77,74,86
84,32,22
91,7,10
98,4,6
105,1,1
112,1,2
119,0,0
126,1,0
133,0,1
