time,Male,Female
0,0,0
7,0,0
14,3,3
21,6,9
28,14,22
35,40,59
42,83,187
49,165,294
56,199,276
63,139,176
70,57,100
77,48,43
84,19,20
91,6,7
98,1,1
105,1,1
112,0,0
119,0,1
126,0,0
133,1,0
