date,Data
2020-01-01,0
2020-01-08,0
2020-01-15,0
2020-01-22,0
2020-01-29,6
2020-02-05,16
2020-02-12,90
2020-02-19,428
2020-02-26,1870
2020-03-04,7117
2020-03-11,21861
2020-03-18,50935
2020-03-25,86912
2020-04-01,89226
2020-04-08,63870
2020-04-15,40855
2020-04-22,26452
2020-04-29,18459
2020-05-06,13527
2020-05-13,10718
2020-05-20,8627
2020-05-27,7003
2020-06-03,5604
2020-06-10,4432
2020-06-17,3664
2020-06-24,2836
2020-07-01,2188
2020-07-08,1982
2020-07-15,1689
2020-07-22,1679
2020-07-29,1664
2020-08-05,1917
2020-08-12,2335
2020-08-19,2901
2020-08-26,4009
2020-09-02,5624
2020-09-09,8333
2020-09-16,12747
2020-09-23,19816
2020-09-30,28421
2020-10-07,36550
2020-10-14,43437
2020-10-21,49406
2020-10-28,53317
2020-11-04,54876
2020-11-11,52426
2020-11-18,45973
2020-11-25,40111
2020-12-02,39001
2020-12-09,44487
2020-12-16,55960
2020-12-23,71702
2020-12-30,84452
2021-01-06,83923
2021-01-13,70604
2021-01-20,52999
2021-01-27,38384
2021-02-03,26811
2021-02-10,18812
2021-02-17,13281
2021-02-24,9515
2021-03-03,7189
2021-03-10,5611
2021-03-17,4352
2021-03-24,3396
2021-03-31,2665
2021-04-07,1994
2021-04-14,1520
2021-04-21,1162
2021-04-28,1046
2021-05-05,957
2021-05-12,887
2021-05-19,1205
2021-05-26,1359
2021-06-02,1768
