bp,R,value,prior,smooth
start,R_0,3,"Uniform(0.4,5)",0.2
2020-02-26,R_0,3,"Uniform(0.4,5)",0.2
2020-03-11,R_1,2.8,"Uniform(0.4,5)",0.5
2020-03-23,R_2,2,"Uniform(0.4,5)",0.5
2020-03-30,R_3,2,"Uniform(0.4,5)",0.5
2020-04-08,R_4,0.9,"Uniform(0.4,2)",0.2
2020-04-22,R_5,0.7,"Uniform(0.4,2)",0.2
2020-05-06,R_6,0.6,"Uniform(0.4,2)",0.2
2020-05-20,R_7,0.6,"Uniform(0.4,2)",0.2
2020-06-03,R_8,0.7,"Uniform(0.4,2)",0.2
2020-06-17,R_9,0.8,"Uniform(0.4,2)",0.2
2020-07-01,R_10,1,"Uniform(0.4,2)",0.2
2020-07-15,R_11,1.2,"Uniform(0.4,2)",0.2
2020-07-29,R_12,1.3,"Uniform(0.4,2)",0.2
2020-08-12,R_13,1.65,"Uniform(0.4,2)",0.2
2020-08-26,R_14,1.75,"Uniform(0.4,2)",0.2
2020-09-09,R_15,2,"Uniform(0.4,2)",0.2
2020-09-23,R_16,1.8,"Uniform(0.4,2)",0.2
2020-10-07,R_17,1.7,"Uniform(0.4,2)",0.2
2020-10-21,R_18,1.5,"Uniform(0.4,2)",0.2
2020-11-04,R_19,1.3,"Uniform(0.4,2)",0.5
2020-11-18,R_20,1.2,"Uniform(0.4,2)",0.2
2020-12-02,R_21,1.1,"Uniform(0.4,2)",0.2
2020-12-16,R_22,1,"Uniform(0.4,2)",0.2
2020-12-30,R_23,0.9,"Uniform(0.4,2)",0.2
2021-01-06,R_24,0.85,"Uniform(0.4,2)",0.5
2021-01-13,R_25,0.85,"Uniform(0.4,2)",0.2
2021-01-27,R_26,0.85,"Uniform(0.4,2)",0.2
2021-02-10,R_27,0.85,"Uniform(0.4,2)",0.2
2021-02-24,R_28,0.85,"Uniform(0.4,2)",0.2
2021-03-10,R_29,0.85,"Uniform(0.4,2)",0.2
2021-03-24,R_30,0.85,"Uniform(0.4,2)",0.2
2021-04-07,R_31,0.85,"Uniform(0.4,2)",0.2
2021-04-21,R_32,0.85,"Uniform(0.4,2)",0.2
2021-05-05,R_33,0.85,"Uniform(0.4,2)",0.2
2021-05-19,R_34,0.85,"Uniform(0.4,2)",0.2
end,R_35,0.85,"Uniform(0.4,2)",0.2
