# Gives the time variation in Effective R_t.
Time,mean,95% CI min,95% CI max,Simulated
55.250000,1.816600,1.816600,1.816600,1.816600
55.750000,1.804200,1.804200,1.804200,1.804200
56.250000,1.791000,1.791000,1.791000,1.791000
56.750000,1.775200,1.775200,1.775200,1.775200
57.250000,1.759600,1.759600,1.759600,1.759600
57.750000,1.743200,1.743200,1.743200,1.743200
58.250000,1.726400,1.726400,1.726400,1.726400
58.750000,1.707200,1.707200,1.707200,1.707200
59.250000,1.686000,1.686000,1.686000,1.686000
59.750000,1.664600,1.664600,1.664600,1.664600
60.250000,1.640400,1.640400,1.640400,1.640400
60.750000,1.615200,1.615200,1.615200,1.615200
61.250000,1.594200,1.594200,1.594200,1.594200
61.750000,1.569200,1.569200,1.569200,1.569200
62.250000,1.542600,1.542600,1.542600,1.542600
62.750000,1.516000,1.516000,1.516000,1.516000
63.250000,1.485600,1.485600,1.485600,1.485600
63.750000,1.454600,1.454600,1.454600,1.454600
64.250000,1.424200,1.424200,1.424200,1.424200
64.750000,1.393400,1.393400,1.393400,1.393400
65.250000,1.366600,1.366600,1.366600,1.366600
65.750000,1.334000,1.334000,1.334000,1.334000
66.250000,1.300600,1.300600,1.300600,1.300600
66.750000,1.270200,1.270200,1.270200,1.270200
67.250000,1.241800,1.241800,1.241800,1.241800
67.750000,1.207200,1.207200,1.207200,1.207200
68.250000,1.174800,1.174800,1.174800,1.174800
68.750000,1.149000,1.149000,1.149000,1.149000
69.250000,1.116800,1.116800,1.116800,1.116800
69.750000,1.089000,1.089000,1.089000,1.089000
70.250000,1.059400,1.059400,1.059400,1.059400
70.750000,1.033400,1.033400,1.033400,1.033400
71.250000,1.007600,1.007600,1.007600,1.007600
71.750000,0.978400,0.978400,0.978400,0.978400
72.250000,0.953800,0.953800,0.953800,0.953800
72.750000,0.923200,0.923200,0.923200,0.923200
73.250000,0.901000,0.901000,0.901000,0.901000
73.750000,0.876000,0.876000,0.876000,0.876000
74.250000,0.851400,0.851400,0.851400,0.851400
74.750000,0.825800,0.825800,0.825800,0.825800
75.250000,0.804400,0.804400,0.804400,0.804400
75.750000,0.782200,0.782200,0.782200,0.782200
76.250000,0.758600,0.758600,0.758600,0.758600
76.750000,0.740200,0.740200,0.740200,0.740200
77.250000,0.723000,0.723000,0.723000,0.723000
77.750000,0.706800,0.706800,0.706800,0.706800
78.250000,0.689600,0.689600,0.689600,0.689600
78.750000,0.672800,0.672800,0.672800,0.672800
79.250000,0.656200,0.656200,0.656200,0.656200
79.750000,0.639400,0.639400,0.639400,0.639400
80.250000,0.624800,0.624800,0.624800,0.624800
80.750000,0.610000,0.610000,0.610000,0.610000
81.250000,0.596400,0.596400,0.596400,0.596400
81.750000,0.585800,0.585800,0.585800,0.585800
82.250000,0.571200,0.571200,0.571200,0.571200
82.750000,0.559000,0.559000,0.559000,0.559000
83.250000,0.550600,0.550600,0.550600,0.550600
83.750000,0.539200,0.539200,0.539200,0.539200
84.250000,0.530000,0.530000,0.530000,0.530000
84.750000,0.522800,0.522800,0.522800,0.522800
85.250000,0.514800,0.514800,0.514800,0.514800
85.750000,0.507200,0.507200,0.507200,0.507200
86.250000,0.500200,0.500200,0.500200,0.500200
86.750000,0.492200,0.492200,0.492200,0.492200
87.250000,0.482600,0.482600,0.482600,0.482600
87.750000,0.475200,0.475200,0.475200,0.475200
88.250000,0.469000,0.469000,0.469000,0.469000
88.750000,0.463400,0.463400,0.463400,0.463400
89.250000,0.458800,0.458800,0.458800,0.458800
89.750000,0.454000,0.454000,0.454000,0.454000
90.250000,0.448800,0.448800,0.448800,0.448800
90.750000,0.443000,0.443000,0.443000,0.443000
91.250000,0.437200,0.437200,0.437200,0.437200
91.750000,0.433800,0.433800,0.433800,0.433800
92.250000,0.429800,0.429800,0.429800,0.429800
92.750000,0.425200,0.425200,0.425200,0.425200
93.250000,0.422200,0.422200,0.422200,0.422200
93.750000,0.419200,0.419200,0.419200,0.419200
94.250000,0.416000,0.416000,0.416000,0.416000
94.750000,0.412800,0.412800,0.412800,0.412800
95.250000,0.409200,0.409200,0.409200,0.409200
95.750000,0.405800,0.405800,0.405800,0.405800
96.250000,0.403200,0.403200,0.403200,0.403200
96.750000,0.399600,0.399600,0.399600,0.399600
97.250000,0.397800,0.397800,0.397800,0.397800
97.750000,0.396000,0.396000,0.396000,0.396000
98.250000,0.393800,0.393800,0.393800,0.393800
98.750000,0.390800,0.390800,0.390800,0.390800
99.250000,0.389000,0.389000,0.389000,0.389000
99.750000,0.387400,0.387400,0.387400,0.387400
100.250000,0.385400,0.385400,0.385400,0.385400
100.750000,0.383400,0.383400,0.383400,0.383400
101.250000,0.380800,0.380800,0.380800,0.380800
101.750000,0.380200,0.380200,0.380200,0.380200
102.250000,0.378200,0.378200,0.378200,0.378200
102.750000,0.377000,0.377000,0.377000,0.377000
103.250000,0.375800,0.375800,0.375800,0.375800
103.750000,0.374600,0.374600,0.374600,0.374600
104.250000,0.373400,0.373400,0.373400,0.373400
104.750000,0.372800,0.372800,0.372800,0.372800
105.250000,0.370600,0.370600,0.370600,0.370600
105.750000,0.369800,0.369800,0.369800,0.369800
106.250000,0.368600,0.368600,0.368600,0.368600
106.750000,0.368400,0.368400,0.368400,0.368400
107.250000,0.368200,0.368200,0.368200,0.368200
107.750000,0.367400,0.367400,0.367400,0.367400
108.250000,0.367000,0.367000,0.367000,0.367000
108.750000,0.366400,0.366400,0.366400,0.366400
109.250000,0.366000,0.366000,0.366000,0.366000
109.750000,0.365800,0.365800,0.365800,0.365800
110.250000,0.365400,0.365400,0.365400,0.365400
110.750000,0.364600,0.364600,0.364600,0.364600
111.250000,0.364400,0.364400,0.364400,0.364400
111.750000,0.363800,0.363800,0.363800,0.363800
112.250000,0.363800,0.363800,0.363800,0.363800
112.750000,0.363200,0.363200,0.363200,0.363200
113.250000,0.362800,0.362800,0.362800,0.362800
113.750000,0.362800,0.362800,0.362800,0.362800
114.250000,0.362000,0.362000,0.362000,0.362000
114.750000,0.361800,0.361800,0.361800,0.361800
115.250000,0.361200,0.361200,0.361200,0.361200
115.750000,0.361000,0.361000,0.361000,0.361000
116.250000,0.360600,0.360600,0.360600,0.360600
116.750000,0.360000,0.360000,0.360000,0.360000
117.250000,0.360000,0.360000,0.360000,0.360000
117.750000,0.359600,0.359600,0.359600,0.359600
118.250000,0.359600,0.359600,0.359600,0.359600
118.750000,0.359600,0.359600,0.359600,0.359600
119.250000,0.359600,0.359600,0.359600,0.359600
119.750000,0.359400,0.359400,0.359400,0.359400
120.250000,0.359400,0.359400,0.359400,0.359400
120.750000,0.359000,0.359000,0.359000,0.359000
121.250000,0.358800,0.358800,0.358800,0.358800
121.750000,0.358800,0.358800,0.358800,0.358800
122.250000,0.358400,0.358400,0.358400,0.358400
122.750000,0.358400,0.358400,0.358400,0.358400
123.250000,0.358400,0.358400,0.358400,0.358400
123.750000,0.358400,0.358400,0.358400,0.358400
124.250000,0.358400,0.358400,0.358400,0.358400
124.750000,0.358000,0.358000,0.358000,0.358000
125.250000,0.357800,0.357800,0.357800,0.357800
125.750000,0.357800,0.357800,0.357800,0.357800
126.250000,0.357800,0.357800,0.357800,0.357800
126.750000,0.357400,0.357400,0.357400,0.357400
127.250000,0.357400,0.357400,0.357400,0.357400
127.750000,0.357400,0.357400,0.357400,0.357400
128.250000,0.357200,0.357200,0.357200,0.357200
128.750000,0.357000,0.357000,0.357000,0.357000
129.250000,0.357000,0.357000,0.357000,0.357000
129.750000,0.356800,0.356800,0.356800,0.356800
130.250000,0.356600,0.356600,0.356600,0.356600
130.750000,0.356600,0.356600,0.356600,0.356600
131.250000,0.356600,0.356600,0.356600,0.356600
131.750000,0.356600,0.356600,0.356600,0.356600
132.250000,0.356600,0.356600,0.356600,0.356600
132.750000,0.356400,0.356400,0.356400,0.356400
133.250000,0.356400,0.356400,0.356400,0.356400
133.750000,0.356200,0.356200,0.356200,0.356200
134.250000,0.356200,0.356200,0.356200,0.356200
134.750000,0.356200,0.356200,0.356200,0.356200
135.250000,0.356000,0.356000,0.356000,0.356000
135.750000,0.356000,0.356000,0.356000,0.356000
136.250000,0.356000,0.356000,0.356000,0.356000
136.750000,0.356000,0.356000,0.356000,0.356000
137.250000,0.355800,0.355800,0.355800,0.355800
137.750000,0.355800,0.355800,0.355800,0.355800
138.250000,0.355800,0.355800,0.355800,0.355800
138.750000,0.355800,0.355800,0.355800,0.355800
139.250000,0.355800,0.355800,0.355800,0.355800
139.750000,0.355800,0.355800,0.355800,0.355800
