time,Data,Data SD
0,0,1
7,0,1
14,3,1
21,28,5.6
28,91,18.2
35,236,47.2
42,519,103.8
49,1079,215.8
56,2042,408.4
63,3423,684.6
70,4866,973.2
77,6098,1219.6
84,6975,1395
91,7434,1486.8
98,7731,1546.2
105,7866,1573.2
112,7933,1586.6
119,7952,1590.4
126,7975,1595
133,7986,1597.2
