time,Data,Data SD
0,0,1
7,2,1
14,9,3.6
21,20,8
28,52,20.8
35,121,48.4
42,222,88.8
49,423,169.2
56,704,281.6
63,786,314.4
70,795,318
77,624,249.6
84,355,142
91,234,93.6
98,100,40
105,54,21.6
112,19,7.6
119,19,7.6
126,7,2.8
133,4,1.6
