time,Male,Female
0,4,1
7,10,11
14,30,51
21,87,76
28,214,188
35,388,332
42,576,558
49,735,756
56,814,779
63,533,616
70,354,366
77,183,181
84,79,85
91,24,32
98,13,11
105,12,7
112,4,5
119,2,4
126,2,1
133,0,1
