time,Data
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000200
8,0.000200
9,0.000200
10,0.000200
11,0.000300
12,0.000300
13,0.000500
14,0.000800
15,0.001200
16,0.001700
17,0.002500
18,0.003200
19,0.003700
20,0.004500
21,0.005800
22,0.006800
23,0.009100
24,0.010000
25,0.011200
26,0.012800
27,0.014600
28,0.016000
29,0.018700
30,0.021400
31,0.025300
32,0.029300
33,0.033000
34,0.036800
35,0.042000
36,0.049200
37,0.054400
38,0.062200
39,0.069700
40,0.079700
41,0.089200
42,0.097700
43,0.106400
44,0.117500
45,0.128400
46,0.140700
47,0.154000
48,0.170400
49,0.185200
50,0.199500
51,0.214700
52,0.232000
53,0.250300
54,0.270200
55,0.290400
56,0.309400
57,0.330700
58,0.354200
59,0.374800
60,0.394700
61,0.414900
62,0.441000
63,0.463200
64,0.483700
65,0.505400
66,0.524000
67,0.542500
68,0.563300
69,0.581500
70,0.599700
71,0.616800
72,0.631000
73,0.648300
74,0.661300
75,0.673900
76,0.686500
77,0.696800
78,0.708000
79,0.720200
80,0.730200
81,0.736700
82,0.745300
83,0.752300
84,0.758800
85,0.764600
86,0.769700
87,0.773900
88,0.777600
89,0.780900
90,0.785000
91,0.788100
92,0.790100
93,0.792900
94,0.794600
95,0.797700
96,0.799400
97,0.800800
98,0.801800
99,0.802400
100,0.803400
101,0.804300
102,0.805100
103,0.805900
104,0.806300
105,0.806400
106,0.807000
107,0.807200
108,0.807500
109,0.808100
110,0.808500
111,0.808700
112,0.809200
113,0.809700
114,0.810300
115,0.810400
116,0.810400
117,0.810600
118,0.811000
119,0.811100
120,0.811200
121,0.811400
122,0.811400
123,0.811600
124,0.811700
125,0.811700
126,0.811800
127,0.811800
128,0.811900
129,0.812000
130,0.812000
131,0.812000
132,0.812000
133,0.812100
134,0.812100
135,0.812100
136,0.812100
137,0.812100
138,0.812100
139,0.812200
