area,age,Sex,compartment,population
S12000042,age20-69,Male,S,47673
S12000042,age70+,Male,S,9114
S12000042,age0-19,Female,S,16078
S12000042,age20-69,Female,S,51118
S12000042,age70+,Female,S,9772
S12000045,age0-19,Male,S,11604
S12000045,age20-69,Male,S,32395
S12000045,age70+,Male,S,8470
S12000045,age0-19,Female,S,12354
S12000045,age20-69,Female,S,34490
S12000045,age70+,Female,S,9017
S12000047,age0-19,Male,S,39329
S12000047,age20-69,Male,S,115247
S12000047,age70+,Male,S,26044
S12000047,age0-19,Female,S,41652
S12000047,age20-69,Female,S,122055
S12000047,age70+,Female,S,27583
S12000048,age0-19,Male,S,15164
S12000048,age20-69,Male,S,46774
S12000048,age70+,Male,S,12429
S12000048,age0-19,Female,S,15686
S12000048,age20-69,Female,S,48381
S12000048,age70+,Female,S,12856
S12000049,age0-19,Male,S,61657
S12000049,age20-69,Male,S,215372
S12000049,age70+,Male,S,29021
S12000049,age0-19,Female,S,64540
S12000049,age20-69,Female,S,225442
S12000049,age70+,Female,S,30378
S12000050,age0-19,Male,S,38081
S12000050,age20-69,Male,S,107344
S12000050,age70+,Male,S,19395
S12000050,age0-19,Female,S,40516
S12000050,age20-69,Female,S,114209
S12000050,age70+,Female,S,20635
