time,age0-19,age20-39,age40-59,age60+
0,3,0,5,3
7,34,11,28,11
14,69,25,66,95
21,191,123,121,251
28,456,334,269,595
35,836,679,504,992
42,993,812,748,914
49,748,639,661,622
56,329,411,437,358
63,163,181,221,153
70,87,86,104,76
77,30,44,48,31
84,11,28,31,14
91,7,5,19,11
98,5,2,15,8
105,5,5,9,3
112,3,3,2,3
119,0,0,3,2
126,0,2,3,4
133,0,2,0,1
