time,age0-19,age20-39,age40-59,age60+
0,0,0,0,0
7,2,1,3,0
14,9,0,23,12
21,22,25,34,45
28,53,72,68,137
35,92,150,140,251
42,177,218,292,375
49,155,217,321,308
56,143,181,237,238
63,51,96,169,132
70,35,43,89,64
77,17,24,44,50
84,12,13,22,18
91,4,2,13,12
98,0,3,8,7
105,0,0,5,1
112,0,2,2,5
119,0,0,1,0
126,0,0,0,0
133,0,0,1,2
