time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,2,0,0,9,5,0,6,2,1,2
7,22,5,5,55,29,5,48,26,12,14
14,62,21,44,158,78,31,192,94,26,50
21,206,78,110,577,238,104,554,283,76,141
28,706,189,360,1629,689,281,1412,1006,188,481
35,1672,444,767,3982,1825,713,3734,2665,545,1108
42,3146,928,1268,6494,3307,1355,6817,4328,1136,2472
49,3637,1329,1023,6205,3930,1714,7702,4254,1560,3494
56,2705,1221,596,3565,2642,1430,5445,2387,1256,3200
63,1560,778,236,1659,1513,719,2928,1157,814,2350
70,809,438,133,736,733,432,1458,489,495,1397
77,396,232,54,329,343,241,738,222,269,849
84,190,131,29,152,188,125,365,92,160,458
91,135,59,15,83,62,59,170,56,82,214
98,52,31,5,40,38,34,82,34,34,120
105,17,19,4,22,17,20,46,13,12,73
112,11,9,1,10,15,5,22,7,7,41
119,3,4,1,4,10,1,9,2,6,24
126,5,5,1,2,2,0,1,6,0,10
133,1,1,0,2,0,1,1,0,0,7
