time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,0,1,0,0,0,0,1
7,3,2,1,3,2,0,2,2,0,1
14,6,1,5,15,9,4,12,10,5,5
21,17,8,6,52,36,8,59,37,8,18
28,64,28,34,162,72,28,144,92,21,41
35,184,51,97,446,195,66,425,318,47,130
42,371,131,188,931,429,167,878,600,154,297
49,620,202,226,1215,630,280,1355,817,232,542
56,652,237,168,981,662,294,1265,706,264,681
63,502,238,128,631,467,250,928,440,207,579
70,278,149,66,326,275,149,569,231,151,428
77,148,73,26,191,126,96,328,123,78,258
84,85,48,12,96,86,58,145,53,58,177
91,49,22,6,28,39,29,73,27,38,111
98,27,16,3,16,19,15,46,13,13,55
105,14,7,1,10,6,9,22,6,6,28
112,5,4,0,6,6,4,8,4,3,16
119,5,2,1,4,3,2,5,1,2,14
126,1,1,0,0,3,1,1,0,0,1
133,2,2,0,0,0,1,1,0,0,1
